Procs,Terms,Variable,Total,Rank,Time
16,10000,0.990000,100.000000,6,0.040307
16,10000,0.990000,100.000000,7,0.044553
16,10000,0.990000,100.000000,8,0.055643
16,10000,0.990000,100.000000,9,0.048937
16,10000,0.990000,100.000000,10,0.059696
16,10000,0.990000,100.000000,11,0.059599
16,10000,0.990000,100.000000,12,0.067067
16,10000,0.990000,100.000000,13,0.078101
16,10000,0.990000,100.000000,14,0.070742
16,10000,0.990000,100.000000,15,0.081138
1,20000,0.990000,100.000000,0,1.592742
2,20000,0.990000,100.000000,0,0.439902
2,20000,0.990000,100.000000,1,1.207634
3,20000,0.990000,100.000000,0,0.241450
3,20000,0.990000,100.000000,1,0.727601
3,20000,0.990000,100.000000,2,0.968370
4,20000,0.990000,100.000000,0,0.137648
4,20000,0.990000,100.000000,1,0.430599
4,20000,0.990000,100.000000,2,0.691266
4,20000,0.990000,100.000000,3,0.914610
5,20000,0.990000,100.000000,0,0.096990
5,20000,0.990000,100.000000,1,0.285484
5,20000,0.990000,100.000000,2,0.454024
5,20000,0.990000,100.000000,3,0.626508
5,20000,0.990000,100.000000,4,0.772191
6,20000,0.990000,100.000000,0,0.078023
6,20000,0.990000,100.000000,1,0.206626
6,20000,0.990000,100.000000,2,0.320272
6,20000,0.990000,100.000000,3,0.438759
6,20000,0.990000,100.000000,4,0.558060
6,20000,0.990000,100.000000,5,0.681542
7,20000,0.990000,100.000000,0,0.059481
7,20000,0.990000,100.000000,1,0.158393
7,20000,0.990000,100.000000,2,0.280998
7,20000,0.990000,100.000000,3,0.333179
7,20000,0.990000,100.000000,4,0.455742
7,20000,0.990000,100.000000,5,0.506718
7,20000,0.990000,100.000000,6,0.589328
8,20000,0.990000,100.000000,0,0.044819
8,20000,0.990000,100.000000,1,0.122517
8,20000,0.990000,100.000000,2,0.229227
8,20000,0.990000,100.000000,3,0.229422
8,20000,0.990000,100.000000,4,0.328713
8,20000,0.990000,100.000000,5,0.385806
8,20000,0.990000,100.000000,6,0.449511
8,20000,0.990000,100.000000,7,0.524605
9,20000,0.990000,100.000000,0,0.034538
9,20000,0.990000,100.000000,1,0.106558
9,20000,0.990000,100.000000,2,0.154779
9,20000,0.990000,100.000000,3,0.212084
9,20000,0.990000,100.000000,4,0.265188
9,20000,0.990000,100.000000,5,0.313852
9,20000,0.990000,100.000000,6,0.369296
9,20000,0.990000,100.000000,7,0.419745
9,20000,0.990000,100.000000,8,0.472676
10,20000,0.990000,100.000000,0,0.027697
10,20000,0.990000,100.000000,1,0.114564
10,20000,0.990000,100.000000,2,0.129619
10,20000,0.990000,100.000000,3,0.171078
10,20000,0.990000,100.000000,4,0.224545
10,20000,0.990000,100.000000,5,0.262287
10,20000,0.990000,100.000000,6,0.308258
10,20000,0.990000,100.000000,7,0.347621
10,20000,0.990000,100.000000,8,0.384290
10,20000,0.990000,100.000000,9,0.425043
11,20000,0.990000,100.000000,0,0.026960
11,20000,0.990000,100.000000,1,0.094707
11,20000,0.990000,100.000000,2,0.121430
11,20000,0.990000,100.000000,3,0.141514
11,20000,0.990000,100.000000,4,0.176781
11,20000,0.990000,100.000000,5,0.217960
11,20000,0.990000,100.000000,6,0.247568
11,20000,0.990000,100.000000,7,0.281537
11,20000,0.990000,100.000000,8,0.301163
11,20000,0.990000,100.000000,9,0.354830
11,20000,0.990000,100.000000,10,0.393973
12,20000,0.990000,100.000000,0,0.025088
12,20000,0.990000,100.000000,1,0.064039
12,20000,0.990000,100.000000,2,0.104225
12,20000,0.990000,100.000000,3,0.124740
12,20000,0.990000,100.000000,4,0.154818
12,20000,0.990000,100.000000,5,0.186255
12,20000,0.990000,100.000000,6,0.213552
12,20000,0.990000,100.000000,7,0.238300
12,20000,0.990000,100.000000,8,0.268874
12,20000,0.990000,100.000000,9,0.301468
12,20000,0.990000,100.000000,10,0.332290
12,20000,0.990000,100.000000,11,0.359918
13,20000,0.990000,100.000000,0,0.022956
13,20000,0.990000,100.000000,1,0.068771
13,20000,0.990000,100.000000,2,0.108376
13,20000,0.990000,100.000000,3,0.123422
13,20000,0.990000,100.000000,4,0.134086
13,20000,0.990000,100.000000,5,0.156799
13,20000,0.990000,100.000000,6,0.180788
13,20000,0.990000,100.000000,7,0.212420
13,20000,0.990000,100.000000,8,0.277378
13,20000,0.990000,100.000000,9,0.262688
13,20000,0.990000,100.000000,10,0.284397
13,20000,0.990000,100.000000,11,0.313575
13,20000,0.990000,100.000000,12,0.334481
14,20000,0.990000,100.000000,0,0.016570
14,20000,0.990000,100.000000,1,0.059484
14,20000,0.990000,100.000000,2,0.069233
14,20000,0.990000,100.000000,3,0.101900
14,20000,0.990000,100.000000,4,0.118106
14,20000,0.990000,100.000000,5,0.148981
14,20000,0.990000,100.000000,6,0.196613
14,20000,0.990000,100.000000,7,0.172120
14,20000,0.990000,100.000000,8,0.192910
14,20000,0.990000,100.000000,9,0.221905
14,20000,0.990000,100.000000,10,0.248292
14,20000,0.990000,100.000000,11,0.268470
14,20000,0.990000,100.000000,12,0.288493
14,20000,0.990000,100.000000,13,0.319091
15,20000,0.990000,100.000000,0,0.013832
15,20000,0.990000,100.000000,1,0.043968
15,20000,0.990000,100.000000,2,0.064462
15,20000,0.990000,100.000000,3,0.095508
15,20000,0.990000,100.000000,4,0.118088
15,20000,0.990000,100.000000,5,0.161623
15,20000,0.990000,100.000000,6,0.143879
15,20000,0.990000,100.000000,7,0.161799
15,20000,0.990000,100.000000,8,0.217686
15,20000,0.990000,100.000000,9,0.201375
15,20000,0.990000,100.000000,10,0.219304
15,20000,0.990000,100.000000,11,0.234090
15,20000,0.990000,100.000000,12,0.245542
15,20000,0.990000,100.000000,13,0.272396
15,20000,0.990000,100.000000,14,0.295533
16,20000,0.990000,100.000000,0,0.009993
16,20000,0.990000,100.000000,1,0.039760
16,20000,0.990000,100.000000,2,0.057660
16,20000,0.990000,100.000000,3,0.086156
16,20000,0.990000,100.000000,4,0.095455
16,20000,0.990000,100.000000,5,0.113251
16,20000,0.990000,100.000000,6,0.127291
16,20000,0.990000,100.000000,7,0.127961
16,20000,0.990000,100.000000,8,0.150952
16,20000,0.990000,100.000000,9,0.183266
16,20000,0.990000,100.000000,10,0.178647
16,20000,0.990000,100.000000,11,0.201038
16,20000,0.990000,100.000000,12,0.231815
16,20000,0.990000,100.000000,13,0.243923
16,20000,0.990000,100.000000,14,0.266077
16,20000,0.990000,100.000000,15,0.282293
1,30000,0.990000,100.000000,0,3.548441
2,30000,0.990000,100.000000,0,0.941730
2,30000,0.990000,100.000000,1,2.669117
3,30000,0.990000,100.000000,0,0.548010
3,30000,0.990000,100.000000,1,1.242141
3,30000,0.990000,100.000000,2,2.070373
4,30000,0.990000,100.000000,0,0.318077
4,30000,0.990000,100.000000,1,0.764518
4,30000,0.990000,100.000000,2,1.162849
4,30000,0.990000,100.000000,3,1.748900
5,30000,0.990000,100.000000,0,0.184110
5,30000,0.990000,100.000000,1,0.486461
5,30000,0.990000,100.000000,2,0.919948
5,30000,0.990000,100.000000,3,1.078495
5,30000,0.990000,100.000000,4,1.388923
6,30000,0.990000,100.000000,0,0.142980
6,30000,0.990000,100.000000,1,0.358933
6,30000,0.990000,100.000000,2,0.566426
6,30000,0.990000,100.000000,3,0.767581
6,30000,0.990000,100.000000,4,0.979112
6,30000,0.990000,100.000000,5,1.333271
7,30000,0.990000,100.000000,0,0.117763
7,30000,0.990000,100.000000,1,0.317751
7,30000,0.990000,100.000000,2,0.501905
7,30000,0.990000,100.000000,3,0.702740
7,30000,0.990000,100.000000,4,0.741620
7,30000,0.990000,100.000000,5,1.010204
7,30000,0.990000,100.000000,6,1.175682
8,30000,0.990000,100.000000,0,0.087804
8,30000,0.990000,100.000000,1,0.241728
8,30000,0.990000,100.000000,2,0.394591
8,30000,0.990000,100.000000,3,0.540818
8,30000,0.990000,100.000000,4,0.697810
8,30000,0.990000,100.000000,5,0.768563
8,30000,0.990000,100.000000,6,0.823912
8,30000,0.990000,100.000000,7,1.054755
9,30000,0.990000,100.000000,0,0.076957
9,30000,0.990000,100.000000,1,0.204817
9,30000,0.990000,100.000000,2,0.304302
9,30000,0.990000,100.000000,3,0.429635
9,30000,0.990000,100.000000,4,0.469159
9,30000,0.990000,100.000000,5,0.679575
9,30000,0.990000,100.000000,6,0.771931
9,30000,0.990000,100.000000,7,0.877988
9,30000,0.990000,100.000000,8,0.962582
10,30000,0.990000,100.000000,0,0.055825
10,30000,0.990000,100.000000,1,0.206226
10,30000,0.990000,100.000000,2,0.263047
10,30000,0.990000,100.000000,3,0.356916
10,30000,0.990000,100.000000,4,0.389078
10,30000,0.990000,100.000000,5,0.550755
10,30000,0.990000,100.000000,6,0.652284
10,30000,0.990000,100.000000,7,0.731026
10,30000,0.990000,100.000000,8,0.694745
10,30000,0.990000,100.000000,9,0.886101
11,30000,0.990000,100.000000,0,0.042754
11,30000,0.990000,100.000000,1,0.185269
11,30000,0.990000,100.000000,2,0.265045
11,30000,0.990000,100.000000,3,0.298906
11,30000,0.990000,100.000000,4,0.384027
11,30000,0.990000,100.000000,5,0.463749
